Jahrgang;Alter;Groesse;Geschlecht;AlterV;AlterM;GroesseV;GroesseM;Geschwister;Farbe;AusgKomm;AnzSchuhe;AusgSchuhe;Essgewohnheiten;Raucher;NoteMathe;MatheZufr;Studiengang;Fragebogen
2015;18;169;Frau;56;46;185;165;1;schwarz;150;25;400;carnivor;nein;1,3;sehr zufrieden;;
2015;20;176;Frau;52;51;187;174;1;schwarz;1100;20;300;carnivor;;1,3;zufrieden;;
2015;25;174;Mann;62;57;182;169;1;schwarz;1000;4;300;carnivor;nein;1,3;geht so;;
2015;21;193;Mann;53;47;180;170;1;schwarz;860;5;200;carnivor;nein;1,3;sehr zufrieden;;
2015;19;182;Mann;52;50;189;165;1;weiss;80;3;200;carnivor;nein;1,3;sehr zufrieden;;
2015;19;183;Mann;54;53;175;175;1;schwarz;420;5;80;carnivor;nein;1,3;sehr zufrieden;;
2015;19;170;Frau;73;59;175;163;0;weiss;180;10;60;carnivor;nein;1,3;sehr zufrieden;;
2015;21;172;Frau;48;48;178;178;3;schwarz;550;25;400;carnivor;nein;1,7;sehr zufrieden;;
2015;19;165;Frau;49;49;180;168;1;schwarz;500;29;350;carnivor;nein;1,7;geht so;;
2015;20;175;Frau;48;47;183;170;1;schwarz;700;12;200;carnivor;nein;1,7;sehr zufrieden;;
2015;20;188;Mann;57;50;180;160;1;weiss;240;3;120;carnivor;ja;1,7;zufrieden;;
2015;23;166;Frau;61;59;175;165;2;rot;200;30;100;carnivor;nein;1,7;geht so;;
2015;19;163;Frau;51;49;178;168;1;schwarz;270;25;100;carnivor;nein;1,7;geht so;;
2015;18;160;Frau;51;50;180;170;2;schwarz;400;20;100;carnivor;nein;1,7;sehr zufrieden;;
2015;20;179;Mann;50;49;183;172;1;schwarz;300;3;80;carnivor;ja;1,7;sehr zufrieden;;
2015;21;189;Mann;59;57;181;175;3;schwarz;237;5;50;carnivor;nein;1,7;zufrieden;;
2015;20;169;Frau;55;54;190;168;1;schwarz;270;30;40;carnivor;nein;1,7;sehr zufrieden;;
2015;19;168;Mann;48;47;176;158;0;weiss;420;12;450;carnivor;nein;2,0;zufrieden;;
2015;19;183;Mann;49;47;180;162;4;rot;210;6;425;carnivor;nein;2,0;unzufrieden;;
2015;21;170;Frau;48;46;182;170;0;schwarz;180;40;400;pescetarisch;nein;2,0;zufrieden;;
2015;18;172;Frau;49;50;196;171;1;rot;350;30;200;carnivor;nein;2,0;sehr zufrieden;;
2015;21;168;Frau;68;64;175;164;3;weiss;120;30;150;carnivor;nein;2,0;zufrieden;;
2015;22;180;Mann;56;55;176;159;1;schwarz;390;5;150;carnivor;nein;2,0;zufrieden;;
2015;19;160;Frau;47;47;180;168;1;blau;120;25;100;carnivor;nein;2,0;zufrieden;;
2015;21;185;Mann;52;50;183;165;4;schwarz;40;6;100;carnivor;nein;2,0;geht so;;
2015;22;173;Mann;54;52;168;160;1;schwarz;480;7;40;carnivor;nein;2,0;zufrieden;;
2015;20;174;Frau;55;53;187;169;3;schwarz;240;25;450;carnivor;;2,3;geht so;;
2015;22;166;Frau;55;52;179;172;1;weiss;120;30;300;carnivor;nein;2,3;geht so;;
2015;20;170;Frau;53;50;176;166;2;silber;426;20;200;carnivor;nein;2,3;sehr zufrieden;;
2015;19;170;Frau;55;50;175;168;3;schwarz;185;15;105;carnivor;nein;2,3;geht so;;
2015;24;151;Frau;54;58;176;158;2;weiss;240;50;100;carnivor;nein;2,3;sehr zufrieden;;
2015;18;160;Frau;49;47;173;162;0;schwarz;240;25;100;carnivor;nein;2,3;zufrieden;;
2015;20;161;Frau;50;50;180;160;1;weiss;240;20;100;carnivor;nein;2,3;zufrieden;;
2015;21;189;Mann;53;49;186;176;2;schwarz;280;7;100;carnivor;ja;2,3;zufrieden;;
2015;18;160;Frau;54;53;168;158;0;rot;529;30;500;carnivor;nein;2,7;zufrieden;;
2015;24;172;Frau;56;55;180;166;1;schwarz;480;50;400;carnivor;nein;2,7;zufrieden;;
2015;20;175;Mann;52;49;175;169;1;weiss;400;7;400;carnivor;nein;2,7;geht so;;
2015;20;165;Frau;55;52;187;162;1;weiss;200;27;300;carnivor;nein;2,7;unzufrieden;;
2015;20;178;Frau;56;54;185;160;3;weiss;240;20;300;carnivor;nein;2,7;geht so;;
2015;22;166;Frau;57;55;175;163;0;weiss;240;20;300;carnivor;nein;2,7;zufrieden;;
2015;26;167;Frau;53;50;178;165;1;schwarz;630;30;280;carnivor;nein;2,7;zufrieden;;
2015;21;168;Frau;50;50;176;169;2;schwarz;120;30;200;carnivor;nein;2,7;unzufrieden;;
2015;24;172;Frau;47;48;195;162;4;weiss;780;15;200;vegetarisch;nein;2,7;geht so;;
2015;19;173;Frau;54;52;185;166;1;weiss;600;20;80;pescetarisch;nein;2,7;geht so;;
2015;19;168;Frau;54;50;174;170;1;weiss;600;90;840;carnivor;nein;3,0;geht so;;
2015;28;163;Frau;46;44;185;163;3;schwarz;1800;86;650;carnivor;nein;3,0;sehr zufrieden;;
2015;19;172;Frau;54;52;185;168;2;weiss;120;60;500;pescetarisch;nein;3,0;zufrieden;;
2015;23;184;Mann;57;54;181;162;1;schwarz;360;7;320;carnivor;nein;3,0;zufrieden;;
2015;19;175;Frau;58;51;178;160;2;silber;480;22;310;carnivor;nein;3,0;zufrieden;;
2015;19;162;Frau;58;55;182;163;3;silber;200;28;300;carnivor;nein;3,0;sehr zufrieden;;
2015;22;189;Mann;59;59;176;164;0;silber;1100;7;300;carnivor;nein;3,0;zufrieden;;
2015;20;177;Mann;45;45;178;156;0;weiss;924;7;300;carnivor;nein;3,0;geht so;;
2015;33;165;Frau;59;60;182;165;2;schwarz;250;20;250;carnivor;nein;3,0;unzufrieden;;
2015;20;165;Frau;52;52;178;173;1;schwarz;300;100;200;carnivor;nein;3,0;geht so;;
2015;25;188;Mann;69;60;185;170;2;silber;1900;4;200;carnivor;ja;3,0;unzufrieden;;
2015;20;151;Frau;47;47;178;155;1;weiss;350;12;150;carnivor;nein;3,0;unzufrieden;;
2015;23;186;Mann;53;51;178;170;2;weiss;600;9;150;carnivor;ja;3,0;unzufrieden;;
2015;21;170;Frau;52;53;180;164;2;silber;150;40;100;carnivor;nein;3,0;zufrieden;;
2015;20;164;Frau;55;50;168;160;2;weiss;276;25;100;carnivor;nein;3,0;unzufrieden;;
2015;19;169;Frau;56;56;179;162;1;weiss;240;25;100;carnivor;nein;3,0;geht so;;
2015;21;161;Frau;60;50;170;162;2;blau;150;25;100;carnivor;nein;3,0;geht so;;
2015;32;175;Frau;62;60;188;174;2;silber;150;30;80;carnivor;;3,0;unzufrieden;;
2015;19;181;Mann;52;48;180;170;1;schwarz;300;8;30;carnivor;nein;3,0;unzufrieden;;
2015;23;158;Frau;65;57;171;156;2;rot;99;8;20;carnivor;ja;3,0;unzufrieden;;
2015;20;162;Frau;51;51;183;167;1;blau;350;67;1200;carnivor;ja;3,3;unzufrieden;;
2015;19;167;Frau;48;43;176;168;4;weiss;270;50;350;carnivor;nein;3,3;zufrieden;;
2015;19;168;Frau;57;54;182;172;1;schwarz;250;30;300;carnivor;nein;3,3;unzufrieden;;
2015;25;157;Frau;54;61;185;160;1;weiss;119,4;30;300;carnivor;nein;3,3;geht so;;
2015;21;161;Frau;70;55;180;165;2;schwarz;600;22;300;carnivor;ja;3,3;geht so;;
2015;20;170;Frau;53;51;178;177;2;schwarz;300;15;250;carnivor;nein;3,3;unzufrieden;;
2015;25;165;Frau;60;60;185;170;4;blau;200;10;150;vegetarisch;nein;3,3;geht so;;
